iter	Passed	Remaining
0	134	134647
1	137	68419
2	138	46050
3	140	34894
4	141	28229
5	143	23750
6	144	20554
7	146	18165
8	148	16373
9	150	14908
10	152	13672
11	153	12660
12	155	11784
13	156	11049
14	158	10411
15	160	9840
16	161	9341
17	163	8929
18	166	8590
19	168	8244
20	169	7915
21	171	7612
22	172	7337
23	174	7088
24	175	6863
25	178	6671
26	180	6508
27	182	6329
28	183	6157
29	185	5997
30	186	5840
31	188	5698
32	189	5564
33	192	5466
34	194	5358
35	195	5244
36	197	5132
37	198	5028
38	199	4926
39	201	4833
40	202	4743
41	204	4660
42	206	4596
43	208	4520
44	210	4464
45	211	4395
46	213	4331
47	215	4273
48	217	4215
49	218	4160
50	221	4114
51	223	4077
52	225	4026
53	226	3972
54	228	3920
55	229	3872
56	231	3826
57	232	3781
58	234	3739
59	236	3700
60	237	3661
61	239	3624
62	241	3584
63	242	3546
64	243	3508
65	245	3473
66	246	3437
67	248	3401
68	249	3370
69	251	3339
70	253	3316
71	254	3284
72	256	3255
73	257	3226
74	259	3197
75	260	3171
76	262	3146
77	263	3118
78	265	3095
79	267	3074
80	268	3049
81	270	3026
82	271	2995
83	272	2972
84	274	2950
85	275	2929
86	277	2908
87	278	2888
88	280	2870
89	282	2852
90	283	2832
91	284	2811
92	286	2792
93	287	2775
94	289	2757
95	290	2738
96	292	2721
97	294	2708
98	296	2696
99	297	2679
100	299	2662
101	300	2645
102	301	2628
103	303	2611
104	304	2595
105	306	2581
106	307	2568
107	309	2557
108	311	2546
109	313	2533
110	314	2518
111	316	2506
112	317	2493
113	319	2481
114	320	2469
115	322	2456
116	323	2441
117	325	2429
118	326	2418
119	328	2408
120	330	2397
121	331	2384
122	333	2375
123	334	2364
124	336	2352
125	338	2348
126	340	2339
127	341	2329
128	343	2318
129	344	2306
130	345	2294
131	347	2284
132	348	2274
133	350	2264
134	351	2255
135	353	2247
136	355	2238
137	357	2230
138	358	2221
139	360	2212
140	361	2203
141	362	2191
142	364	2182
143	365	2172
144	367	2167
145	369	2159
146	370	2151
147	372	2142
148	373	2134
149	375	2127
150	376	2119
151	378	2111
152	380	2103
153	381	2098
154	383	2092
155	385	2085
156	386	2077
157	388	2070
158	389	2062
159	391	2055
160	392	2045
161	393	2038
162	395	2032
163	397	2028
164	399	2022
165	401	2016
166	402	2008
167	404	2002
168	406	1996
169	407	1990
170	409	1984
171	411	1980
172	413	1975
173	414	1969
174	416	1962
175	417	1956
176	419	1950
177	420	1944
178	422	1937
179	424	1932
180	426	1929
181	428	1926
182	430	1921
183	431	1915
184	433	1909
185	434	1903
186	436	1897
187	438	1892
188	439	1887
189	442	1886
190	444	1882
191	446	1878
192	448	1873
193	449	1867
194	450	1861
195	452	1856
196	454	1852
197	456	1850
198	458	1845
199	459	1839
200	461	1834
201	463	1829
202	464	1823
203	465	1818
204	467	1812
205	469	1808
206	470	1803
207	472	1800
208	474	1794
209	475	1789
210	477	1787
211	480	1785
212	482	1782
213	484	1779
214	486	1777
215	488	1773
216	490	1768
217	491	1763
218	492	1757
219	494	1753
220	496	1749
221	498	1746
222	500	1744
223	502	1741
224	504	1737
225	505	1732
226	507	1728
227	509	1724
228	510	1720
229	512	1716
230	514	1713
231	516	1708
232	517	1703
233	518	1698
234	520	1694
235	522	1690
236	523	1685
237	525	1681
238	526	1677
239	528	1674
240	530	1670
241	531	1665
242	533	1661
243	535	1657
244	536	1653
245	538	1649
246	539	1645
247	541	1641
248	543	1637
249	544	1633
250	545	1628
251	547	1623
252	548	1620
253	550	1616
254	551	1612
255	553	1608
256	554	1604
257	556	1599
258	557	1596
259	559	1593
260	561	1589
261	562	1585
262	564	1581
263	565	1577
264	567	1574
265	569	1570
266	570	1566
267	573	1565
268	574	1561
269	575	1557
270	577	1553
271	579	1549
272	580	1546
273	582	1542
274	584	1539
275	585	1537
276	588	1535
277	589	1532
278	591	1528
279	593	1524
280	594	1521
281	596	1517
282	597	1514
283	599	1510
284	601	1508
285	603	1507
286	605	1504
287	607	1501
288	609	1498
289	611	1496
290	612	1493
291	614	1489
292	616	1488
293	618	1485
294	620	1482
295	621	1478
296	623	1475
297	624	1472
298	626	1468
299	628	1465
300	630	1463
301	632	1460
302	633	1458
303	635	1455
304	637	1451
305	638	1448
306	640	1446
307	642	1443
308	644	1440
309	649	1444
310	651	1443
311	652	1439
312	654	1436
313	656	1433
314	657	1430
315	659	1427
316	661	1425
317	663	1422
318	664	1418
319	666	1415
320	667	1412
321	669	1409
322	670	1405
323	672	1402
324	673	1399
325	675	1396
326	677	1393
327	678	1390
328	680	1388
329	682	1385
330	684	1382
331	685	1379
332	687	1376
333	688	1373
334	691	1372
335	693	1369
336	694	1367
337	696	1363
338	697	1360
339	699	1357
340	700	1354
341	702	1351
342	703	1348
343	705	1346
344	707	1343
345	708	1340
